epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.643,0.99421,1.528,1.08959,0.75968,0.76486,0.86772,0.68538,0.76954,1.61941,0.9679,0.067132,0.000332,0.000332
2,288.049,0.84806,0.96643,1.03052,0.94854,0.95968,0.97394,0.78817,0.718,0.60535,0.95252,0.0340991,0.000632399,0.000632399
3,523.083,0.79708,0.8102,1.02767,0.97129,0.97062,0.9751,0.82078,0.66773,0.50648,0.88775,0.00103313,0.000899799,0.000899799
4,706.487,0.7346,0.73101,1.01144,0.96114,0.95106,0.9862,0.85098,0.58935,0.5129,0.86486,0.0008515,0.0008515,0.0008515
5,891.514,0.73704,0.698,1.0099,0.97903,0.97144,0.97999,0.82689,0.62934,0.46942,0.88983,0.000802,0.000802,0.000802
6,1041.49,0.71895,0.64548,1.00386,0.97098,0.97316,0.99158,0.86822,0.54148,0.42058,0.84322,0.0007525,0.0007525,0.0007525
7,1187.32,0.68683,0.622,0.99238,0.97886,0.98,0.99089,0.85721,0.58843,0.39903,0.85785,0.000703,0.000703,0.000703
8,1331.96,0.66164,0.56845,0.99155,0.9834,0.97802,0.99302,0.85395,0.59749,0.39016,0.86564,0.0006535,0.0006535,0.0006535
9,1465.32,0.66367,0.56741,0.99051,0.98112,0.98311,0.99233,0.83968,0.63698,0.37175,0.86995,0.000604,0.000604,0.000604
10,1597.41,0.6315,0.54205,0.98341,0.99062,0.98292,0.99461,0.85009,0.63513,0.38794,0.88038,0.0005545,0.0005545,0.0005545
11,1727.52,0.62392,0.441,0.96035,0.9824,0.9862,0.99433,0.86981,0.56322,0.36279,0.85298,0.000505,0.000505,0.000505
12,1857.98,0.61997,0.3865,0.95163,0.99226,0.98674,0.99471,0.85498,0.59341,0.34767,0.85503,0.0004555,0.0004555,0.0004555
13,1994.1,0.59606,0.36294,0.94147,0.99421,0.99028,0.99481,0.87444,0.52409,0.30551,0.83338,0.000406,0.000406,0.000406
14,2130.11,0.58223,0.33867,0.93938,0.99284,0.99184,0.99456,0.86558,0.56129,0.31052,0.84583,0.0003565,0.0003565,0.0003565
15,2266.22,0.57075,0.31825,0.93504,0.99634,0.9956,0.99499,0.8878,0.5151,0.27373,0.82507,0.000307,0.000307,0.000307
16,2402.55,0.54837,0.297,0.93435,0.99838,0.99439,0.99499,0.88798,0.49893,0.26685,0.82178,0.0002575,0.0002575,0.0002575
